,hardness-agree,hardness-maj,hardness-votes,n_votes,prep,rigidness-agree,rigidness-maj,rigidness-votes,size-agree,size-maj,size-votes,sub,verb,verb-speed-agree,verb-speed-maj,verb-speed-votes,weight-agree,weight-maj,weight-votes
0,2,-42,"[-42, -42, -1]",3,over,1,-42,"[-42, -1, 1]",2,-1,"[-42, -1, -1]",_op,took,2,-42,"[-42, 1, -42]",2,-1,"[-42, -1, -1]"
1,3,1,"[1, 1, 1]",3,off,1,-42,"[1, -1, -42]",3,1,"[1, 1, 1]",_op,took,1,-42,"[-1, 1, -42]",3,1,"[1, 1, 1]"
2,2,-42,"[1, -42, -42]",3,up,3,-42,"[-42, -42, -42]",2,-42,"[1, -42, -42]",_op,took,2,-42,"[-42, 1, -42]",2,-42,"[1, -42, -42]"
3,3,1,"[1, 1, 1]",3,out,2,-1,"[-1, -1, 1]",2,1,"[1, 1, -42]",_op,took,3,1,"[1, 1, 1]",2,1,"[1, 1, -42]"
4,1,-42,"[1, -1, -42]",3,over,2,-42,"[-42, -1, -42]",2,-1,"[-42, -1, -1]",_p,took,3,1,"[1, 1, 1]",2,-1,"[-42, -1, -1]"
5,2,-42,"[-42, -42, 1]",3,up,2,-42,"[-42, -42, 1]",2,1,"[1, -42, 1]",_p,took,1,-42,"[-1, -42, 1]",2,1,"[1, -42, 1]"
6,2,1,"[-42, 1, 1]",3,in,2,-42,"[-42, 1, -42]",3,1,"[1, 1, 1]",_p,took,2,-42,"[-42, -42, -1]",3,1,"[1, 1, 1]"
7,3,1,"[1, 1, 1]",3,out,2,-1,"[-42, -1, -1]",3,1,"[1, 1, 1]",_p,took,2,-42,"[-42, -42, 1]",3,1,"[1, 1, 1]"
8,3,1,"[1, 1, 1]",3,,2,-42,"[-42, -42, -1]",3,1,"[1, 1, 1]",_d,took,1,-42,"[1, -1, -42]",3,1,"[1, 1, 1]"
9,2,-42,"[1, -42, -42]",3,,2,-42,"[-42, -1, -42]",2,1,"[1, -1, 1]",_od,took,1,-42,"[-1, -42, 1]",2,1,"[1, -1, 1]"
10,3,-42,"[-42, -42, -42]",3,on,3,-42,"[-42, -42, -42]",2,-42,"[-42, -42, -1]",_dp,took,2,1,"[1, -42, 1]",2,-42,"[-42, -42, -1]"
11,3,-1,"[-1, -1, -1]",3,from,1,-42,"[1, -1, -42]",3,-1,"[-1, -1, -1]",_dp,took,2,-42,"[-42, 1, -42]",3,-1,"[-1, -1, -1]"
12,2,-42,"[-42, 1, -42]",3,by,2,-42,"[-1, -42, -42]",2,1,"[-1, 1, 1]",_dp,took,3,-42,"[-42, -42, -42]",3,1,"[1, 1, 1]"
13,3,-1,"[-1, -1, -1]",3,at,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_dp,took,2,1,"[1, 1, -1]",3,-1,"[-1, -1, -1]"
14,2,-42,"[-42, -1, -42]",3,of,2,-1,"[-1, -1, 1]",3,-1,"[-1, -1, -1]",_dp,took,3,-42,"[-42, -42, -42]",3,-1,"[-1, -1, -1]"
15,2,-42,"[-42, -1, -42]",3,over,2,-42,"[-42, -1, -42]",2,1,"[1, -1, 1]",_op,walked,3,1,"[1, 1, 1]",1,-42,"[-42, -1, 1]"
16,2,-1,"[1, -1, -1]",3,in,1,-42,"[1, -1, -42]",2,-1,"[1, -1, -1]",_op,walked,3,1,"[1, 1, 1]",2,-1,"[1, -1, -1]"
17,2,1,"[-1, 1, 1]",3,on,2,-1,"[-1, 1, -1]",2,1,"[-1, 1, 1]",_op,walked,3,1,"[1, 1, 1]",1,-42,"[-1, -42, 1]"
18,2,-42,"[-42, -1, -42]",3,into,2,-1,"[-42, -1, -1]",2,-1,"[-42, -1, -1]",_op,walked,3,1,"[1, 1, 1]",2,-1,"[-42, -1, -1]"
19,1,-42,"[-42, -1, 1]",3,through,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_op,walked,3,1,"[1, 1, 1]",2,-1,"[-1, -1, 1]"
20,2,-42,"[-42, -42, 1]",3,with,3,-42,"[-42, -42, -42]",1,-42,"[-1, -42, 1]",_op,walked,3,-42,"[-42, -42, -42]",2,-42,"[-42, -42, 1]"
21,2,-1,"[-1, -1, -42]",3,over,3,-1,"[-1, -1, -1]",2,-1,"[-1, -1, 1]",_p,walked,3,1,"[1, 1, 1]",2,-1,"[-1, -1, -42]"
22,2,-42,"[-42, -42, -1]",3,up,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_p,walked,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
23,2,-1,"[-1, -42, -1]",3,in,2,-1,"[-1, -1, -42]",3,-1,"[-1, -1, -1]",_p,walked,3,1,"[1, 1, 1]",2,-1,"[-1, -1, -42]"
24,2,-1,"[1, -1, -1]",3,into,2,-1,"[-42, -1, -1]",3,-1,"[-1, -1, -1]",_p,walked,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
25,2,1,"[1, -42, 1]",3,through,2,1,"[1, -42, 1]",1,-42,"[-42, -1, 1]",_p,walked,2,1,"[1, 1, -42]",2,1,"[1, -1, 1]"
26,2,-42,"[-42, -42, 1]",3,with,2,-42,"[-42, -42, -1]",3,-42,"[-42, -42, -42]",_p,walked,3,-42,"[-42, -42, -42]",2,-42,"[-42, -42, 1]"
27,2,-1,"[-1, -42, -1]",3,down,2,-1,"[-1, -42, -1]",2,-1,"[-1, -42, -1]",_p,walked,1,-42,"[1, -42, -1]",2,-1,"[-1, -42, -1]"
28,2,1,"[-1, 1, 1]",3,,2,-42,"[-42, -1, -42]",2,1,"[-1, 1, 1]",_d,walked,2,-42,"[-42, 1, -42]",2,1,"[-1, 1, 1]"
29,2,-42,"[-42, -1, -42]",3,,1,-42,"[1, -1, -42]",2,-42,"[-42, -1, -42]",_od,walked,2,1,"[1, 1, -42]",2,-42,"[-42, -1, -42]"
30,2,-42,"[-42, -42, -1]",3,in,2,-1,"[-42, -1, -1]",2,-1,"[-42, -1, -1]",_dp,walked,3,1,"[1, 1, 1]",2,-1,"[-42, -1, -1]"
31,1,-42,"[-42, -1, 1]",3,into,2,-42,"[-42, -1, -42]",3,-1,"[-1, -1, -1]",_dp,walked,3,1,"[1, 1, 1]",2,-1,"[-42, -1, -1]"
32,1,-42,"[-1, 1, -42]",3,through,2,-1,"[-1, 1, -1]",2,-1,"[-1, 1, -1]",_dp,walked,3,1,"[1, 1, 1]",1,-42,"[-42, 1, -1]"
33,2,-1,"[1, -1, -1]",3,with,2,-42,"[-42, -42, -1]",2,-1,"[1, -1, -1]",_dp,walked,2,-42,"[-42, -42, 1]",2,-1,"[1, -1, -1]"
34,2,-42,"[-1, -42, -42]",3,down,3,-1,"[-1, -1, -1]",2,-1,"[-1, -42, -1]",_dp,walked,3,1,"[1, 1, 1]",2,-1,"[-1, -42, -1]"
35,2,-42,"[-42, -42, -1]",3,for,2,-42,"[-42, -42, -1]",2,-1,"[-42, -1, -1]",_dp,walked,2,-42,"[-42, -42, -1]",1,-42,"[-42, 1, -1]"
36,3,1,"[1, 1, 1]",3,up,2,1,"[1, -1, 1]",3,1,"[1, 1, 1]",_op,threw,2,-1,"[-1, -1, -42]",3,1,"[1, 1, 1]"
37,3,1,"[1, 1, 1]",3,out,1,-42,"[1, -42, -1]",2,1,"[1, -42, 1]",_op,threw,2,1,"[1, -1, 1]",2,1,"[1, -42, 1]"
38,3,1,"[1, 1, 1]",3,down,2,-1,"[-1, -1, -42]",3,1,"[1, 1, 1]",_op,threw,3,-1,"[-1, -1, -1]",3,1,"[1, 1, 1]"
39,2,1,"[1, -42, 1]",3,for,1,-42,"[-1, -42, 1]",2,1,"[1, -42, 1]",_op,threw,1,-42,"[-1, -42, 1]",2,1,"[1, -42, 1]"
40,3,1,"[1, 1, 1]",3,up,2,1,"[1, 1, -42]",3,1,"[1, 1, 1]",_p,threw,2,-1,"[-1, -1, -42]",3,1,"[1, 1, 1]"
41,3,1,"[1, 1, 1]",3,out,2,-1,"[-1, -1, -42]",2,1,"[1, -1, 1]",_p,threw,2,-1,"[1, -1, -1]",3,1,"[1, 1, 1]"
42,2,1,"[-42, 1, 1]",3,with,3,-42,"[-42, -42, -42]",3,1,"[1, 1, 1]",_p,threw,1,-42,"[1, -42, -1]",2,1,"[-42, 1, 1]"
43,1,-42,"[-42, 1, -1]",3,down,2,-42,"[-42, -42, -1]",3,1,"[1, 1, 1]",_p,threw,3,-1,"[-1, -1, -1]",3,1,"[1, 1, 1]"
44,1,-42,"[-1, 1, -42]",3,at,2,-1,"[-1, -1, 1]",2,-42,"[-42, 1, -42]",_p,threw,2,1,"[1, 1, -1]",2,1,"[1, 1, -42]"
45,3,1,"[1, 1, 1]",3,,3,-1,"[-1, -1, -1]",3,1,"[1, 1, 1]",_d,threw,3,-1,"[-1, -1, -1]",3,1,"[1, 1, 1]"
